Title,Company,City,State,Description
Data Scientist,Analytica Inc.,Washington, District of Columbia,"Analytica is seeking a Data Scientist with an emphasis on statistical analytics within a newly deployed cloud-based platform to support a complex set of Federal Financial Compliance and Enforcement challenges. The position will apply statistical programming, statistical visualization techniques, modeling, and forecasting skills to analyze Federal Financial use cases. The ideal candidate will enjoy engaging with stakeholders, learning their business problems, providing technical guidance, evangelizing the team’s data science capabilities. This position will sit in Washington, DC.  Requirements:Feature Engineering and Attribute Evaluation - Candidate must demonstrate experience with identifying the key determinants for modeling that exist in the business process and within existing data sets as well as selecting evaluation protocols (model techniques). Pre-processing - Demonstrate the skills and experience to collect, clean, and prepare data sets for input into a computational model using technologies such as Python, SAS, or R. Strong candidates will explain various methods you have applied using common pre-processing functions.Modeling - Candidates will have practiced skills and experience selecting modeling techniques to fit the business problem. Examples will include techniques such as machine learning (ML) supervised and unsupervised learning, regression, neural networks and deep learning, natural language processing, etc.Validation - Strong candidates will describe their experience with investigating, reporting, and justifying model results.Visualization- Experience in presenting the results of their modeling activities, depicting the insights realized, and explaining the relevance of their results to the organization’s business challenges.Qualifications:Master's degree required, and PhD preferred in Statistics, Mathematics, Computer Science, or familiarHigh degree of experience utilizing SAS, R, or Python to support the development of complex statistical use casesStrong problem-solving skills, leverage domain knowledge, information technology, and data science techniquesAt least five years of statistical analysisExperience with a distributed enterprise Business Intelligence platform such a SAS, Tableau, or Qlik.Experience with development of predictive analytics modelsExperience coordinating and maintaining user storiesMust be a US citizenMust be able to obtain and maintain a Public trust security clearanceAboutANALYTICA: Analytica is a leading consulting and information technology solutions provider to public sector organizations supporting health, civilian, and national security missions. Founded in 2009 and headquartered in Bethesda, MD, the company is an established SBA certified HUBZone and 8(a) small business that has been recognized by Inc. Magazine each of the past three years as one of the 250 fastest-growing companies in the U.S. Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management consulting services. The company is appraised by the Software Engineering Institute (SEI) at CMMI® Maturity Level 3 and is an ISO 9001:2008 certified provider."
Machine Learning Researcher,OneThree Biotech,New York City,New York,"OneThree Biotech is a VC backed startup working to change how new medicines are discovered using biology-driven AI. We all know someone who’s been affected by cancer, and we’ve proven that our technology can help get life-saving treatments to patients faster (people.com/health/teacher-brain-tumor-week-to-live-now-thriving). Having already signed a set of Fortune 500 paying clients, we’re ramping up for our next phase of growth and are looking for a bold and self-motivated researcher to join us as we change healthcare for the better.More about us:Currently developing a single new drug can take over $1B and 15 years, with over 99% of drugs failing along the way. This is why over 70% of all known diseases have no treatments and millions of patients are left with no viable treatment options.At OneThree Biotech we’re working to change this using biology-driven AI. Founded after members of our team lost family members to rare cancer, the team at OneThree has spent the last 5+ years researching how we can combine AI with systems biology to stop this from happening to anyone else. We’re building a platform to not only predict new potential therapeutics, but also to pinpoint the mechanisms driving efficacy, and we pride ourselves on building a new form of biology-driven AI that values interpretability as much as accuracy. After raising a multi-million round of funding, we’re looking for a Machine Learning Scientist to join our interdisciplinary team as we look to ramp up external partnerships and internal development.About the Role:You will work closely with our Chief Data Scientist and our research and engineering teams to both improve existing algorithms and develop new machine learning approaches for a variety of unsolved biological questions. The ideal candidate will be interested in diving into machine learning beyond just an AUC or accuracy and will seek to truly build interpretable methods. The ideal candidate will have an entrepreneurial mindset, be comfortable with creative problem solving, and be comfortable collaborating with interdisciplinary teams. This is a rare opportunity to get in at the early stage and take ownership over product and strategy. If working on challenging problems that could have a real positive impact if solved excites you, then maybe OneThree is the place for you!Responsibilities:• Work closely with computational biologists to apply cutting edge machinelearning algorithms and approaches to drug development• Build models that prioritize interpretability as well as model performanceto ensure the highest level of biological understanding• Apply advanced feature selection and engineering techniques to datapre-processingRequirements:• PhD in a quantitative subject (Masters and 3+ years of work experience alsoacceptable)• Expertise implementing a variety of machine learning techniques (e.g.SVM, Random Forest, neural networks)• Working knowledge of scripting languages, Python strongly preferred• Experience with traditional machine learning packages, such as sklearn,numpy, pandas (plus: keras, tensorflow)• Experience with relational databased (PostgreSQL preferred)• Experience using AWS (RDS, Sagemaker, etc)Nice To Have:• Experience working with un-structured data, transfer learning, and/orNatural Language Processing• Any experience in life science, health or biotech• Publication track record (pre-prints count!)Benefits:• Comprehensive Healthcare, Dental, and Vision• 25 days PTO (inclusive of 2 companywide weeks off)• 401K• Remote, Work from home, Virtual - option available• Office at the exclusive Grand Central Tech hub, directly across fromGrand Central Station• Free coffee, nitro cold brew, tea, and work events• Monthly team snack budget• Private access to a large terrace with Manhattan views• Subsidized cafeteria for lunch• Early access to Bergamo’s before opening hours"
Data Scientist,Chewy,Dania, Florida,"Our OpportunityChewy's Supply Chain Team is seeking a Data Scientist to join the growing Supply Chain Analytics team in Dania Beach, FL. Combining a background in Supply Chain with a deep understanding of analytics and data science, you will be a part of a team responsible for strategic planning and research initiatives centered around our inventory and fulfillment network. This includes optimizing the way that we predict customer demand; and purchase, position, transport, store and ship inventory to our customers. The Supply Chain team operates in a fast-paced environment where every day brings new challenges and new opportunities. You will be responsible for designing and implementing solutions and technologies which will handle the growing business needs and play a key role in redefining what it means to be a world-class Operations Research organization.What You'll DoDeep dive big Supply Chain data to explain change, find hidden opportunity, and provide recommendationsPartner with Supply Chain’s functional areas (with Demand Planning, S&OP, Transportation, and Supply Planning) to develop to optimize our Supply Chain across the boardWork with IT and Data Warehousing teams to develop and enhance systemsBe a subject matter expert for Supply Chain AnalyticsPredict, simulate and optimize Supply Chain operationsImplement process improvement initiatives that drive improvements to the metrics and streamline the Supply ChainWhat You'll NeedAn advanced degree (M.S., PhD, or equivalent experience) in Operations Research, Statistics, Applied Mathematics, Engineering, Computer Science or related field or 5+ years’ experience designing optimization and machine learning solutions for large scale applicationsAbility to understand and apply advanced mathematicsR or Python masteryExperience working with Predictive Models (Time Series and Regression), Linear Programming, and ClassificationAbility to translate complex data sets and research into simple business recommendationsAbility to manage multiple projectsAbility to use collaborative programming tools (Git, Confluence, etc.), and assist and support junior colleague’s use of those toolsPosition may require travelBonusStrong leadership skills and outgoingAbility to effectively operate both independently and as part of a teamE-com, Retail or startup experience is a plusIf you have a disability under the Americans with Disabilities Act or similar law, or you require a religious accommodation, and you wish to discuss potential accommodations related to applying for employment at our company, please contact HR@Chewy.com.To access Chewy’s Privacy Policy, which contains information regarding information collected from job applicants and how we use it, please click here: Chewy Privacy Policy (https://www.chewy.com/app/content/privacy)."
"Product Analytics Lead, Data Science",Google,New York City,New York,"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA;New York, NY, USAMinimum QualificationsBA/BS degree or equivalent practical experience.8 years of relevant experience in an analytical function.Experience working with statistical packages (e.g. R, SAS, Stata, MATLAB, etc.).Experience with articulating product questions, pulling data from datasets (SQL) and using statistics to arrive at an answer.Preferred QualificationsBA/BS or Master's degree with emphasis on coursework of a quantitative nature (e.g., Statistics, Computer Science, Engineering, Mathematics, Data Sciences).Experience in scripting with SQL, extracting large sets of data, and design of ETL flows.Work experience in an inter-disciplinary/cross-functional field.Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.Distinctive problem solving skills and impeccable business judgment.Capable of translating analysis results into business recommendations. Strong written and verbal communication skills.About The JobHelp serve Google's worldwide user base of more than a billion people. Business Analysts provide quantitative support, market understanding and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you serve as an analytics expert for your partners, using numbers to help them make better decisions. You weave stories with meaningful insight from data. You make critical recommendations for your fellow Googlers in Engineering and Product Management. As a self-starter, you relish tallying up the numbers one minute and communicating your findings to a team leader the next.Leaders in Data Science can see different angles of a product or business opportunity, and you know how to connect the dots and interact with people in various roles and functions. You have substantial experience with analytical tools and techniques, and bring a solid skill-set in analyzing data and communicating recommendations. You will deepen your skill-set by working with analytical thought leaders across the company.Data Scientists are changing the world one technological achievement after another.Experimentation is at the core of what you do. In this role, you will work to effectively turn business questions into data analysis, and provide meaningful recommendations on strategy. This is a unique hybrid role that will focus on your knowledge of data infrastructure and your ability to drive insights.Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.ResponsibilitiesConduct data analysis to make business recommendations (cost-benefit, invest-divest, forecasting, impact analysis).Deliver effective presentations of findings and recommendations to multiple levels of leadership, creating visual displays of quantitative information. Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for analytical needs.Collaborate with cross-functional partners to understand their business needs, formulate and complete end-to-end analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations.Develop a vision and roadmap for analytics across a product or functional group.Own relationships with executive stakeholders across Google Engineering.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form ."
"Analytics Product Manager, Equities",Jefferies,New York City,New York,"CRM & Analytics Team Overview:The CRM & Analytics team is a highly strategic and cross-functional team responsible for leading the firm’s global digitalization effort. This initiative, spanning all client-facing business units and corporate functions, will drive innovation and strategic change through technology, data science, and deep analytics.  The team partners with key business leaders and industry experts to build transformational technology to drive revenue, maximize efficiency, and optimize the allocation of resources. The CRM & Analytics team is at the forefront of Jefferies’ cloud initiative, leveraging best-in-class cloud-based technologies to replace legacy on-premises solutions to provide intelligent trend insights, actionable opportunities, decision support, and transparency into all client and business-related activities.Position Overview:Analytics Product Managers are responsible for the delivery of analytic products to respective business Global Markets & Investment Banking lines. They oversee the creation and enhancement of products from ideation, design, delivery, adoption, and support. Product managers work closely with Business leaders, Data Science teams, and Technical Engineering teams to identify solutions where analytics can be used to differentiate our offering and add value to the bank. PM’s are expected to become experts in understanding different business processes, Data Science solutions, and various technologies. Main responsibilities include working with business representatives to gather requirements, create specifications, maintain documentation, oversee the delivery of products, partner with various business lines, and maintain communications with business leaders and program stakeholders on roadmaps, priorities, and delivery status.    Basic Requirements:Capture detailed business requirementsManage and create product roadmapsDrive product development coordinating across multiple tech and business teamsPartner with business representatives to drive priorities and communicate progressCreate existing business process flows and define technical workflowsCreate and Maintain product documentationLead meetings presenting to various technology and business stakeholdersLead issue resolution on product support problemsPartner with data science teams to propose solutions to business problemsMaintain relationships across the firm with business and technology partnersPerform analysis of data sources using SQL and data profiling toolsUnderstanding of trade lifecycle and global markets businessExperience working with business intelligence, design, development, and technical engineering teamsExperience in driving full product lifecycle  Desired SkillsExposure to statistics and machine learning conceptsFinancial Services industry experienceWorking knowledge of SQL, Python, R"
Data Scientist,QVC,West Chester, Pennsylvania,"Our Data Scientist is responsible for in-depth analysis of data across QVC and HSN leading to actionable insights and recommendations. This usually involves statistical and non-statistical modeling, simulations, optimization, and A/B testing.Relevant areas include consumer behavior, customer journey, e-commerce, television, marketing, and operations. Example projects include marketing mix optimization, airtime optimization, price elasticity estimation, and direct-response marketing targeting and effectiveness measurement.What You’ll DoJob Description DetailsConstruct analytic data sets for exploration, modeling, insight generationConduct in-depth data analysis, data and prepare visualizations summarizing key features of the dataDevelop accurate models for forecasting and inferenceDevelop test designs, hypotheses, success metrics, and test requirements, and execute test analysisWork with stakeholders to define business questions and success criteriaPresent results and consult the business on next stepsConduct change management for new methodologiesResearch best practices, technologies, tools, and trendsGuide and mentor other analytics team members (Center of Excellence)Work with IT on productionalization, data accuracyDevelop novel techniques or maintain legacy codes when neededWho You AreAdvanced degree (Master’s/PhD) in Statistics, Economics, Computer Science or other quantitative disciplineExpertise in various statistical methodologies such as regression analysis, cluster analysis, decision trees, factor analysis/principal component analysis, time series, survival models2+ years experience in data integration with SQL2+ years experience in statistical programming in SAS (strongly preferred) and/or R, PythonExperience in data visualization and exploration tools (Tableau preferred)Strong statistical knowledge and knowledge of test designExperience distilling and presenting complex concepts to a business audience2+ years experience using web analytics programs such as Coremetrics (preferred) or Google Analytics2+ years experience using A/B and Multivariate testing tools; experience with A/B testing analysis preferredExperience at a B2C e-commerce company a plus"
Data Scientist 2 - Styling/Trunks Data Science & Analytics,Nordstrom,Seattle, Washington,"Job DescriptionData Scientist 2 - Styling/Trunks Data Science & AnalyticsJoin a high impact, customer-obsessed data science and analytics team!Nordstrom is a specialty retailer offering the very best in fashion and customer service since 1901. We live by five simple values that guide how we work together day-to-day and how we deliver analytics & data science products. We are customer-obsessed, owners at heart, curious and ever-changing, we extend ourselves to our peers and our customers, and we’re here to win! We're proud to be named to Fortune™ magazine's list of '100 Best Companies to Work For.' We believe this recognition comes from our desire to empower our employees to set their sights high and deliver exceptional service to customers. At Nordstrom, we apply Data Science across a complex and rapidly evolving retail landscape to develop innovative data products, new business processes and improve the customer experience in our stores and online. Our data science teams are composed of interdisciplinary contributors with a broad scope who work in an energizing and collaborative atmosphere.The Styling Data Science & Analytics team is on a mission to reinvent digital styling experiences through the power of data and artificial intelligence. We are working on exciting, cutting edge and impactful opportunities, such as: building advanced recommendation systems, making sense of text data via natural language processing, extracting valuable insights from images via computer vision algorithms and develop analytics solutions that enable the business to make data-driven decisions.The ideal candidate is a creative self-starter and strong technical contributor who is always looking for new opportunities to solve business problems with data-driven tools. We welcome your curiosity about the business, your passion to unlock rich, nuanced insights from complicated data and the desire to communicate those insights in a way that drives positive business outcomes.We are committed to building teams that reflect the diversity of our customers and active inclusion is core to how Nordstrom wins. We’re an equal opportunity employer and encourage individuals from underrepresented backgrounds to apply.If the idea to make a difference in this vibrant intersection of fashion, data science, and technology excites you, join our world-class data science team!What You'll DoTechnical ExcellenceTrack record of delivering end-to-end data science products, i.e. ability to work across the product lifecycle from research and discovery to operationalization and production.You are familiar with the entire end-to-end ML pipeline, including a wide range of the families of techniques for each step of the ML product development.Strong Python skills and proficiency in at least one machine learning framework and common data science libraries (e.g., spark, scikit-learn, pandas, numpy, tensorflow, pytorch, keras, theano, seaborn, matplotlib, etc.)Good software engineering best practices, including story estimation, test driven development, code review, and version control with git.Own medium machine learning projects driving technical decisions and making informed trade-offs that balance quick wins with long term robust solutions with minimal supervisionYour passion for machine learning, curiosity, problem solving, and innovation empower you to stay up-to-date with research and to prototype new ideas quicklyRelationships and communicationEngage with Data Science & Analytics program management and stakeholders to frame, structure and prioritize business problems where projects or tools can have the biggest impact.Collaborate with a cross-functional agile team spanning product management, engineering, user research and design to build innovative product solutions.Work closely with data engineering partners to leverage and improve our Machine Learning infrastructure.Influence the product strategy by uncovering business opportunities.Comfort and aptitude for regularly presenting progress, insights and recommendations to stakeholders and senior leadership.Strong technical writer and documenter.Good Python skills including proficiency with popular data science libraries (e.g., scikit-learn, pandas, numpy, etc.) and visualization libraries (e.g., seaborn, ggplot, Altair, Plotly, etc.).Familiarity with more specialized libraries/frameworks (e.g., tensorflow, scrapy, etc.) is a plus.What Your Background May Look Like2+ years of relevant hands-on industry experience with track record of building successful end-to-end data productDegree in a quantitative field (or equivalent experience). MS preferred. PhD is a plus.Experience with SQL and NoSQL data environments and tools such as Hadoop, Spark, DynamoDB is a plus.Experience with Amazon Web Services ecosystem is a plus.Excellent written and verbal communication skillsA few of our perksTremendous opportunity to work on some of the most exciting machine learning problems and learn from a large team of data science expertsCareer advancement opportunities and annual stipend for continuous educationLunch and learnsHackathon daysState of the art workplace environment in the popular Chicago River North neighborhood. Social environment with built-in bars, a rooftop view, and our very own coffee shop!Comprehensive health coverage, competitive salary, 401(k) matchNordstrom discountA company culture like you’ve never experiencedWe’ve got you covered…BenefitsNordstrom is proud to offer a variety of benefits to support employees and their families, includingOur employees are our most important asset and that’s reflected in our benefits.Medical/Vision, Dental, Retirement and Paid Time AwayLife Insurance and DisabilityMerchandise Discount and EAP ResourcesA few more important points...The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com .Nordstrom Careers Privacy Policy: https://careers.nordstrom.com/#/contact-us/privacy© 2020 Nordstrom, Inc.Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs."
Data Scientist,Otis Elevator Co.,Dallas, Texas,"Date Posted2020-06-29-07:00CountryUnited States of AmericaLocation:OT423: TD - DALLAS, TX 1444 N. Cockrell Hill Road, Dallas, TX, 75211 USAResponsible for exploring various operational, product and customer data sources and leading data analytics studies and application development for internal users. Join Otis’ team of data scientists to analyze Otis operational, passenger traffic, equipment sensor and market data and to define strategy, improve performance, recognize latent trends, and identify market growth opportunities.Essential ResponsibilitiesDetermine and apply the right analytics method for a given business problem.Develop and deliver data analytics applications for use for end-users in operations, engineering and marketing.Conduct data analysis exploration to uncover insights and trends.Build prescriptive analytics tools to empower decision makers to solve complex business problems, or to integrate them in an automated process.Work with stakeholders to understand how to integrate with and transform business processes.Work with internal customers to gather and document requirements.Build common platforms and applicationsManage data quality issues.Interpret data analyses.Education/CertificationsAdvanced degree in Data Science, Operations Research, Statistics, Computer Science, Mathematics or comparable field.Basic QualificationsBackground on methodologies at the forefront of Machine Learning and Data Analytics.Deep knowledge on the applicability of different data analytics methodologies, including optimization and simulation.Proficiency with analytics tools including: data warehousing and querying tools, statistical scripting/programming languages and libraries, data mining, dashboarding/visualization and business intelligence.Proficiency with integrating analyses from legacy data sources and building data quality measures.Ability to interpret results from complex technical analyses and present results in a form that is understood and actionable by operations, product or marketing stakeholders.Excellent team, interpersonal and presentation skills required to lead and manage projects and communicate at all levels of the organization.Excellent command of English, both spoken and written.Preferred QualificationsExperience with developing tools integrated with business processes and legacy databases.Experience with developing data analytics and visualization applications that are integrated with legacy database systems.Experience with mediating data quality issues including measuring data quality, determining sources of quality issues and solving data quality issues.Experience with developing tools and analyses that are used by end-users not familiar with Machine Learning.Experience building and implementing optimization models in tools such as CPLEX and Xpress.Experience building and implementing Simulation models in tools such as AnyLogic.Strong programming skills on various languages including Java, Python and SQL.Otis is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.Privacy Policy And TermsClick on this link to read the Policy and Terms"
Data Science & Analytics Manager,Kinship,New York City,New York,"DATA & ANALYTICS AT MARS PETCAREThe Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.With the breadth and scale of our Petcare businesses we have unique and unrivaled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement.We began our work to leverage these more strategically to power our ecosystem in 2018 and there is a core team at the Petcare level incubating and guiding these efforts.Role PurposeTo deliver on this ambition of a Powered by Data strategy we need leadership and talent with deep expertise and experience of data and advanced analytics to drive the multiple initiatives and lead the change in data and pet- and pet-centric thinking across the entire Mars Petcare businessThe purpose of this role is to lead the advanced analytics and data science function in the US and to deliver the Powered By Data roadmaps across Mars Petcare divisionsWe are searching for an experienced Analytics professional to lead the US analytics and data science function; to collaborate with divisional leads to deliver the ecosystem analytics roadmap across all divisions in the US; to support and upskill the divisions in the implementation of analytics best practice in managing and delivering projects; to work with global teams to identify and implement efficient delivery of the vision; to develop the talent in the US data science team; and, to articulate the strategic opportunities of a pet-centric analytics driven strategy.The Primary Responsibilities AreThe role reports in to the Global VP Advanced Analytics & Data Science. The role has direct responsibility for the US team of data scientists delivering Petcare ecosystem initiatives across divisions and implementing best practice to drive efficiencies. There is clear responsibility to collaborate and work with divisional teams in the US delivering the analytics strategy ensuring a pet and pet-owner centric approach.Lead the team delivering the “Powered By Data” analytics roadmaps across all divisions in the US:Ensuring outstanding delivery of pet and pet-owner centric insight, analytics and data science in the marketImplementing best practice in delivery standards and processes for Petcare analytics, in the team and supporting the divisions to do soIdentify opportunities to improve the techniques and tools utilized by the Petcare data science communityIdentify the right external data and partners to help deliver the Powered by Data ambitions in the USAcquisition and retention of a balanced, skilled and motivated US data science functionAgree and monitor the KPIs and metrics for US Analytics & Data ScienceEnsuring outstanding delivery of pet and pet-owner centric insight, analytics and data science across US Petcare divisionsLead a pet and pet-owner centric approach to problem solving across divisions in the US ensuring highest standards of insight and data science delivery to create changeIn conjunction with Division D&A Leads and global Petcare teams support the development and retention of a balanced, skilled and motivated US data science functionOrganizing and leading US based communities of data science talent enabling cross team rotation whilst maintaining delivery excellenceDocumentation and roll-out of best practice standards in the execution of analytics projects for value creation, including induction and on-boarding process for new talent in the USCo-ordination with divisional teams in the governance and reporting of analytics projectsContribute to the upskilling of Petcare by inspiring local teams with insight and story-telling togain deeper engagement with the Powered By Data strategyEnsuring learning and development plans exist for all members of the US Petcare data science community and that they are shared in a way to accelerate development of individuals and the functionAdherence to consumer and pet privacy frameworks, terms, consents and approaches to ensure we position ourselves to empower consumers, to leverage effectively data for their advantage, to abide by all laws and relevant best practicesEducation And Professional QualificationsRich experience in working with data and deliver business-changing analytics, data science and marketing personalization with:At least 10 years of experience in this space, with particular focus on working with consumer centric data for consumer-centric outcomesProven leadership abilities managing analytics teams across different locations and time zonesProven technical experience in using statistics, advanced analytics and data science to create impactful outcomes and leading teams to do the sameStrong inter-personal skills and insight story-telling capabilities with the ability to take senior leadership on the insight journeyProven ability to guide and partner with senior business leaders including strategy, marketing, operations, technology and data & analyticsGood understanding of Data Protection and Privacy principles and practices including GDPR Good at developing new relationships, driving positive change, and highly innovativeAbility to influence highly skilled professionals to achieve major organizational goals Ability to communicate complex subjects in a clear and simple waySuperior planning, project management and organizational orchestration skillsKnowledge & ExperienceAt least 10 years of experience in a quantitative and leadership role applying advanced analytics to inform business strategyExperience working in a multi-business unit or multi-client environment that emphasizes collaboration, efficiency and team-workVaried technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors including packaged goods and retail, and preferably in the medical sector tooExperience in having managed effective data analytics teams of at least 5+ team members with differing levels of experience to develop a clear and scalable structure. Have developed great insight talent that have thrived and succeeded within and beyond the team.Able to engage senior leaders on the insight journey.Able to partner effectively with the business stakeholders so that they embrace your contribution, value your team’s contribution and partner to ensure the insights create value.Connect and Collaborate effectively across Petcare to ensure our efforts are consistent, complementary and enable ecosystem benefits that are greater than the sum of the parts"
Senior Data Scientist-Digital Analytics (work from home),Cigna,Bloomfield,Connecticut,"Job Location: NYC, NY, Bloomfield, CT or Remote, Work from home, United StatesBe a pioneer in the area of servicing analytics and drive value -add for Cigna and its stakeholders--Customers, Health Care Providers and Client stakeholders!This position gives you the special opportunity to make sure Cigna is the industry leader across all servicing channels. Driving affordability of care, transparency of care, predictable cost of care and simplicity to enhance the wellbeing of customers is our mission. Each interaction with Cigna should be a positive unforgettable one. Empowering our stakeholders with the information to satisfy their need when and how they want to do it through self-service means is a key enabler.You would help shape the digital strategy and identify, size, test, and measure data driven opportunities to drive greater digital engagement for Cigna stakeholders while achieving our mission.ResponsibilitiesPerform retrospective and exploratory analysis to uncover opportunities --extract data from warehouse /big data environment, work with large and complex data sets, and manipulate data to formulate data driven insights and analytically driven opportunities to drive digital engagement and save OPEX as well as drive affordability, simplicity, and wellness. Data could include structured and unstructured data.Size opportunities and develop use cases to drive investment requirements and prioritizationIdentify data or technology gaps and develop high level functional requirements for data ingestion required for opportunity executionTranslate new digital capabilities into engagement opportunitiesDesign and Read tests with clear success metrics for measurement of larger opportunities and make final recommendations. Ensure efficiency benefit can be tracked and reflected in Finance driven Actuals and ForecastsAssist Operations with roll out of successful initiatives from an analytic and data requirements perspectivesStay abreast of all the latest technology that could enhance the ability to perform analytics as well as technology to enable the execution of analytically driven opportunities to drive digital engagement.Partner closely with Digital team and other enabling organizationsSummarize and communicate complex findings simply and concisely so that it can be easily consumed.Qualifications And Experience Required6+ years of relevant work experience in data analytics, data science, digital analytics and operations analytics within the health care, financial services or telecom industries requiredBachelors or Masters in quantitative discipline (mathematics, statistics, engineering, economics)Proven track record of harnessing digital channel data to drive meaningful insights with improvement recommendationsAdvanced user of R, Python and ExcelData Science experience including predictive modeling such as regression, machine learning and voice analytic driven models requiredExpert experience of Design of experiment (DoE) - experimental test design in a digital environmentWorking Knowledge of clickstream, ClickFox, Site Catalyst type dataCall Center knowledge and familiarity with speech analytics-preferredAbility to communicate technical findings to nontechnical audiencesOutstanding Problem solving, root cause analysis skills requiredAbility to juggle multiple priorities and drive solutions in a fast paced environmentAbility to think and perform both tactically and strategically –in and out of the boxExcellent collaboration with ability to build networks across the enterpriseAbout CignaCigna Corporation (NYSE: CI) is a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. We offer an integrated suite of health services through Cigna, Express Scripts, and our affiliates including medical, dental, behavioral health, pharmacy, vision, supplemental benefits, and other related products. Together, with our 74,000 employees worldwide, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation.When you work with Cigna, you’ll enjoy meaningful career experiences that enrich people’s lives while working together to make the world a healthier place. What difference will you make? To see our culture in action, search #TeamCigna on Instagram.Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.If you require an accommodation based on your physical or mental disability please email: SeeYourself@cigna.com. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response."
